"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"BNZ","BENZ MINING CORP.","2020-12-23","Materials",58565011
"BOA","BOADICEA RESOURCES LIMITED","2012-10-11","Materials",7769990
"BOC","BOUGAINVILLE COPPER LIMITED","1970-12-31","Materials",156414375
"BOD","BOD AUSTRALIA LIMITED.","2016-10-27","Retailing",24499439
"BOE","BOSS ENERGY LTD","2007-07-25","Energy",740415610
"BOL","BOOM LOGISTICS LIMITED","2003-10-14","Capital Goods",64166131
"BOQ","BANK OF QUEENSLAND LIMITED.","1971-08-24","Banks",4502146569
"BOT","BOTANIX PHARMACEUTICALS LTD","1985-01-24","Pharmaceuticals, Biotechnology & Life Sciences",65311459
"BPH","BPH ENERGY LTD","2004-08-06","Pharmaceuticals, Biotechnology & Life Sciences","N/A"
"BPM","BPM MINERALS LIMITED","2020-12-30","Materials",6927082
"BPP","BABYLON PUMP & POWER LIMITED","1996-12-13","Capital Goods",11059971
"BPT","BEACH ENERGY LIMITED","1972-06-30","Energy",3718573859
"BRB","BREAKER RESOURCES NL","2012-04-20","Materials",104366240
"BRG","BREVILLE GROUP LIMITED","1999-05-25","Consumer Durables & Apparel",2664300271
"BRI","BIG RIVER INDUSTRIES LIMITED","2017-05-01","Materials",173501080
"BRK","BROOKSIDE ENERGY LIMITED","2005-10-31","Energy",55135002
"BRL","BATHURST RESOURCES LIMITED.","2013-06-21","Materials",167918207
"BRN","BRAINCHIP HOLDINGS LTD","2011-11-09","Software & Services",1165631947
"BRU","BURU ENERGY LIMITED","2008-09-01","Energy",57220136
"BRX","BELARAROX LIMITED","2022-01-28","Materials",14696105
"BSA","BSA LIMITED","1999-11-15","Commercial & Professional Services",37899759
"BSE","BASE RESOURCES LIMITED","2008-10-02","Materials",270942726
"BSL","BLUESCOPE STEEL LIMITED","2002-07-15","Materials",7873924792
"BSN","BASIN ENERGY LIMITED","2022-10-04","Energy",11372158
"BST","BEST & LESS GROUP HOLDINGS LTD","2021-07-26","Retailing",240704506
"BSX","BLACKSTONE MINERALS LIMITED","2017-01-23","Materials",66273920
"BTC","BTC HEALTH LTD","2000-08-29","Not Applic",10428315
"BTE","BOTALA ENERGY LTD","2022-07-14","Energy",20428439
"BTH","BIGTINCAN HOLDINGS LIMITED","2017-03-24","Software & Services",319245582
"BTI","BAILADOR TECHNOLOGY INVESTMENTS LIMITED","2014-11-21","Diversified Financials",176961324
"BTN","BUTN LIMITED","2021-07-06","Diversified Financials",24004500
"BTR","BRIGHTSTAR RESOURCES LIMITED","2003-12-05","Materials",11722061
"BUB","BUBS AUSTRALIA LIMITED","1993-10-05","Food, Beverage & Tobacco",223721249
"BUD","BUDDY TECHNOLOGIES LTD","2006-12-18","Consumer Durables & Apparel","N/A"
"BUR","BURLEY MINERALS LTD","2021-07-07","Materials",12810000
"BUS","BUBALUS RESOURCES LIMITED","2022-10-13","Materials",5722498
"BUX","BUXTON RESOURCES LIMITED","2007-10-23","Materials",17115292
"BUY","BOUNTY OIL & GAS NL","2002-02-05","Energy",8223006
"BVR","BELLAVISTA RESOURCES LTD","2022-05-25","Materials",14034434
"BVS","BRAVURA SOLUTIONS LIMITED.","2016-11-16","Software & Services",206133822
"BWF","BLACKWALL LIMITED","2011-10-21","Diversified Financials",45202518
"BWP","BWP TRUST","1998-09-16","Real Estate",2595230564
"BWX","BWX LIMITED","2015-11-11","Household & Personal Products",36997688
"BXB","BRAMBLES LIMITED","2006-11-27","Commercial & Professional Services",16984558918
"BXN","BIOXYNE LIMITED","2000-12-14","Household & Personal Products",15309844
"BYE","BYRON ENERGY LIMITED","2005-06-03","Energy",124360437
"BYH","BRYAH RESOURCES LIMITED","2017-10-17","Materials",6750083
"BYI","BEYOND INTERNATIONAL LIMITED","1987-06-12","Media & Entertainment","N/A"
"C1X","COSMOS EXPLORATION LIMITED","2021-12-01","Materials",6650000
"C29","C29 METALS LIMITED","2021-05-25","Materials",8788632
"C6C","COPPER MOUNTAIN MINING CORPORATION","2018-04-06","Materials",411154389
"C79","CHRYSOS CORPORATION LIMITED","2022-05-06","Commercial & Professional Services",300581455
"C7A","CLARA RESOURCES AUSTRALIA LTD","2010-10-21","Materials",14216787
"CAA","CAPRAL LIMITED","1986-11-20","Materials",137341013
"CAE","CANNINDAH RESOURCES LIMITED","2005-05-20","Materials",134316338
"CAF","CENTREPOINT ALLIANCE LIMITED","2002-06-25","Diversified Financials",44073425
"CAG","CAPE RANGE LTD","2017-11-30","Software & Services",11863538
"CAI","CALIDUS RESOURCES LIMITED","1987-03-13","Materials",118241560
"CAJ","CAPITOL HEALTH LIMITED","2006-06-09","Health Care Equipment & Services",340327212
"CAM","CLIME CAPITAL LIMITED","2004-02-03","Not Applic",122228556
"CAN","CANN GROUP LIMITED","2017-05-04","Pharmaceuticals, Biotechnology & Life Sciences",77702973
"CAQ","CAQ HOLDINGS LIMITED","2005-07-25","Real Estate",17944657
"CAR","CARSALES.COM LIMITED.","2009-09-10","Media & Entertainment",7332270394
"CAT","CATAPULT GROUP INTERNATIONAL LTD","2014-12-19","Technology Hardware & Equipment",179382545
"CAU","CRONOS AUSTRALIA LIMITED","2019-11-07","Health Care Equipment & Services",332919241
"CAV","CARNAVALE RESOURCES LIMITED","2007-03-15","Materials",13667759
"CAY","CANYON RESOURCES LIMITED","2010-06-15","Materials",38157726
"CAZ","CAZALY RESOURCES LIMITED","2003-10-31","Materials",11526476
"CBA","COMMONWEALTH BANK OF AUSTRALIA.","1991-09-12","Banks",178330304530
"CBE","COBRE LIMITED","2020-01-31","Materials",36531715
"CBH","COOLABAH METALS LIMITED","2022-07-28","Materials",4663750
"CBL","CONTROL BIONICS LIMITED","2020-12-07","Health Care Equipment & Services",15381435
"CBO","COBRAM ESTATE OLIVES LIMITED","2021-08-11","Food, Beverage & Tobacco",602871124
"CBR","CARBON REVOLUTION LIMITED","2019-11-29","Automobiles & Components",21725541
"CBY","CANTERBURY RESOURCES LIMITED","2019-03-07","Materials",5226918
"CCA","CHANGE FINANCIAL LIMITED","2016-06-30","Software & Services",25668069
"CCE","CARNEGIE CLEAN ENERGY LIMITED","1993-10-26","Utilities",23463861
"CCG","COMMS GROUP LTD","2017-12-21","Telecommunication Services",28848349
"CCP","CREDIT CORP GROUP LIMITED","2000-09-04","Diversified Financials",1313690321
"CCR","CREDIT CLEAR LIMITED","2020-10-27","Software & Services",154446142
"CCV","CASH CONVERTERS INTERNATIONAL","1997-02-07","Diversified Financials",153748529
"CCX","CITY CHIC COLLECTIVE LIMITED","1998-05-28","Retailing",110105868
"CCZ","CASTILLO COPPER LIMITED","2010-12-14","Materials",23391096
"CD1","CD PRIVATE EQUITY FUND I","2012-08-14","Not Applic",29606456
"CD2","CD PRIVATE EQUITY FUND II","2013-04-09","Not Applic",59826158
"CD3","CD PRIVATE EQUITY FUND III","2016-07-27","Not Applic",100119504
"CDA","CODAN LIMITED","2003-11-27","Technology Hardware & Equipment",719237333
"CDD","CARDNO LIMITED","2004-05-20","Commercial & Professional Services",18553815
"CDM","CADENCE CAPITAL LIMITED","2006-12-05","Not Applic",272470348
"CDO","CADENCE OPPORTUNITIES FUND LIMITED.","2021-11-19","Not Applic",35453546
"CDP","CARINDALE PROPERTY TRUST","1996-11-28","Real Estate",322413687
"CDR","CODRUS MINERALS LIMITED","2021-06-23","Materials",9051600
"CDT","CASTLE MINERALS LIMITED","2006-05-02","Materials",23987832
"CDX","CARDIEX LIMITED","2005-11-09","Health Care Equipment & Services",44844530
"CE1","CALIMA ENERGY LIMITED","2006-07-28","Energy",82586354
"CEL","CHALLENGER EXPLORATION LIMITED","2007-11-07","Energy",188084025
"CEN","CONTACT ENERGY LIMITED","2015-09-24","Utilities",5702114571
"CF1","COMPLII FINTECH SOLUTIONS LTD","2001-12-18","Software & Services",28275510
"CFO","CFOAM LIMITED","2016-10-26","Capital Goods",1834602
"CG1","CARBONXT GROUP LIMITED","2018-01-23","Materials",21463507
"CGB","CANN GLOBAL LIMITED","2008-01-14","Pharmaceuticals, Biotechnology & Life Sciences","N/A"
"CGC","COSTA GROUP HOLDINGS LIMITED","2015-07-24","Food, Beverage & Tobacco",1207820812
"CGF","CHALLENGER LIMITED","2003-12-23","Diversified Financials",5218296003
"CGN","CRATER GOLD MINING LIMITED","2002-11-01","Materials","N/A"
"CGO","CPT GLOBAL LIMITED","2000-12-20","Software & Services",12951544
"CGS","COGSTATE LTD","2004-02-13","Health Care Equipment & Services",338198246
"CHC","CHARTER HALL GROUP","2005-06-10","Real Estate",5874625212
"CHK","COHIBA MINERALS LIMITED","2012-02-01","Materials",9765965
"CHL","CAMPLIFY HOLDINGS LIMITED","2021-06-28","Transportation",120830973
"CHM","CHIMERIC THERAPEUTICS LIMITED","2021-01-18","Pharmaceuticals, Biotechnology & Life Sciences",36271400
"CHN","CHALICE MINING LIMITED","2006-03-24","Materials",2375381794
"CHR","CHARGER METALS NL","2021-07-09","Materials",26972625
"CHZ","CHESSER RESOURCES LIMITED","2007-05-29","Materials",49990464
"CI1","CREDIT INTELLIGENCE LTD","2008-07-10","Commercial & Professional Services",19204807
"CIA","CHAMPION IRON LIMITED","2007-06-08","Materials",3827229132
"CII","CI RESOURCES LIMITED","1987-07-24","Materials","N/A"
"CIN","CARLTON INVESTMENTS LIMITED","1970-06-30","Not Applic",795828731
"CIO","CONNECTED IO LIMITED","1984-08-16","Technology Hardware & Equipment","N/A"
"CIP","CENTURIA INDUSTRIAL REIT","2012-12-13","Real Estate",2012730113
"CIW","CLIME INVESTMENT MANAGEMENT LTD","2000-12-15","Diversified Financials",33331722
"CKA","COKAL LIMITED","2000-04-17","Materials",197704286
"CKF","COLLINS FOODS LIMITED","2011-08-04","Consumer Services",839105481
"CL8","CARLY HOLDINGS LIMITED","1996-09-09","Retailing",4598334
"CLA","CELSIUS RESOURCES LIMITED.","1988-03-24","Materials",22587436
"CLB","CANDY CLUB HOLDINGS LIMITED","2019-02-19","Food & Staples Retailing","N/A"
"CLE","CYCLONE METALS LIMITED","2001-06-07","Materials",12233474
"CLG","CLOSE THE LOOP LTD.","2021-12-02","Commercial & Professional Services",125794304
"CLT","CELLNET GROUP LIMITED","1999-11-17","Technology Hardware & Equipment",6089866
"CLU","CLUEY LTD","2020-12-09","Consumer Services",58077698
"CLV","CLOVER CORPORATION LIMITED","1999-11-30","Materials",203739196
"CLW","CHARTER HALL LONG WALE REIT","2016-11-08","Real Estate",3267758706
"CLX","CTI LOGISTICS LIMITED","1987-12-02","Transportation",122665466
"CLZ","CLASSIC MINERALS LTD","2013-05-24","Materials",8324141
"CMD","CASSIUS MINING LIMITED","2006-08-10","Materials",8986844
"CMG","CRITICAL MINERALS GROUP LIMITED","2022-09-27","Materials",8154800
"CMM","CAPRICORN METALS LTD","2008-07-07","Materials",1779745081
"CMO","COSMO METALS LIMITED","2022-01-31","Materials",6818850
"CMP","COMPUMEDICS LIMITED","2000-12-21","Health Care Equipment & Services",35432590
"CMW","CROMWELL PROPERTY GROUP","1973-02-22","Real Estate",1741546355
"CMX","CHEMX MATERIALS LIMITED","2022-01-18","Materials",16698914
"CNB","CARNABY RESOURCES LIMITED","2016-08-30","Materials",130104805
"CNI","CENTURIA CAPITAL GROUP","2002-03-26","Real Estate",1385732487
"CNJ","CONICO LTD","2007-06-18","Materials",11639745
"CNQ","CLEAN TEQ WATER LIMITED","2021-07-02","Commercial & Professional Services",21641362
"CNR","CANNON RESOURCES LIMITED","2021-08-12","Materials",43065811
"CNU","CHORUS LIMITED","2011-11-21","Telecommunication Services",3504843303
"CNW","CIRRUS NETWORKS HOLDINGS LIMITED","2004-02-10","Software & Services",30690211
"COB","COBALT BLUE HOLDINGS LIMITED","2017-02-02","Materials",196130491
"COD","CODA MINERALS LTD","2020-10-28","Materials",37923143
"COE","COOPER ENERGY LIMITED","2002-03-13","Energy",486833283
"COF","CENTURIA OFFICE REIT","2014-12-10","Real Estate",928858928
"COG","COG FINANCIAL SERVICES LIMITED","2003-01-28","Diversified Financials",285924828
"COH","COCHLEAR LIMITED","1995-12-04","Health Care Equipment & Services",13482558204
"COI","COMET RIDGE LIMITED","2004-04-16","Energy",166711559
"COL","COLES GROUP LIMITED.","2018-11-21","Food & Staples Retailing",22752656078
"COO","CORUM GROUP LIMITED","1971-07-28","Software & Services",17921454
"COS","COSOL LIMITED","2020-01-24","Software & Services",106257392
"COY","COPPERMOLY LIMITED","2008-01-31","Materials",19745612
"CPH","CRESO PHARMA LIMITED","2016-10-20","Pharmaceuticals, Biotechnology & Life Sciences",36719243
"CPM","COOPER METALS LIMITED","2021-11-19","Materials",10580000
"CPN","CASPIN RESOURCES LIMITED","2020-11-25","Materials",46458047
"CPO","CULPEO MINERALS LIMITED","2021-09-10","Materials",7486867
"CPT","CIPHERPOINT LIMITED","2007-01-03","Software & Services",7737993
"CPU","COMPUTERSHARE LIMITED.","1994-05-27","Software & Services",15998827404
"CPV","CLEARVUE TECHNOLOGIES LIMITED","2018-05-25","Capital Goods",39071043
"CQE","CHARTER HALL SOCIAL INFRASTRUCTURE REIT","2003-05-22","Real Estate",1277550115
"CQR","CHARTER HALL RETAIL REIT","1995-11-15","Real Estate",2336543028
"CR1","CONSTELLATION RESOURCES LIMITED","2018-07-30","Materials",7485814
"CR9","CORELLA RESOURCES LTD","2008-01-15","Materials",10202181
"CRB","CARBINE RESOURCES LIMITED","2007-03-16","Materials",6237036
"CRD","CONRAD ASIA ENERGY LTD.","2022-10-27","Energy",206421692
"CRL","COMET RESOURCES LIMITED","1994-03-02","Materials","N/A"
"CRM","CARBON MINERALS LIMITED","1980-12-31","Energy","N/A"
"CRN","CORONADO GLOBAL RESOURCES INC.","2018-10-23","Materials",3403201072
"CRR","CRITICAL RESOURCES LIMITED","2010-12-03","Materials",67847046
"CRS","CAPRICE RESOURCES LTD","2018-12-05","Materials",6372307
"CSE","COPPER STRIKE LIMITED","2004-11-24","Materials","N/A"
"CSF","CATALANO SEAFOOD LTD","2022-03-11","Food, Beverage & Tobacco",6249672
"CSL","CSL LIMITED","1994-06-08","Pharmaceuticals, Biotechnology & Life Sciences",140214002439
"CSR","CSR LIMITED","1962-03-31","Materials",2285108512
"CSS","CLEAN SEAS SEAFOOD LIMITED","2005-12-12","Food, Beverage & Tobacco",99293707
"CST","CASTILE RESOURCES LTD","2020-02-14","Materials",22255023
"CSX","CLEANSPACE HOLDINGS LIMITED","2020-10-23","Health Care Equipment & Services",26186638
"CT1","CONSTELLATION TECHNOLOGIES LIMITED","1987-10-08","Technology Hardware & Equipment",5884801
"CTD","CORPORATE TRAVEL MANAGEMENT LIMITED","2010-12-15","Consumer Services",2162694526
"CTE","CRYOSITE LIMITED","2002-05-09","Pharmaceuticals, Biotechnology & Life Sciences",32702407
"CTM","CENTAURUS METALS LIMITED","1989-01-12","Materials",457003712
"CTN","CATALINA RESOURCES LTD","2010-02-18","Materials",12384869
"CTO","CITIGOLD CORPORATION LIMITED","1993-12-23","Materials",17001955
"CTP","CENTRAL PETROLEUM LIMITED","2006-03-07","Energy",58340836
"CTQ","CARETEQ LIMITED","2022-01-10","Health Care Equipment & Services",7908220
"CTT","CETTIRE LIMITED","2020-12-18","Retailing",487984922
"CTV","COLORTV LIMITED","2017-12-14","Media & Entertainment","N/A"
"CU6","CLARITY PHARMACEUTICALS LTD","2021-08-25","Pharmaceuticals, Biotechnology & Life Sciences",259662516
"CUE","CUE ENERGY RESOURCES LIMITED","1995-12-11","Energy",46774021
"CUF","CUFE LTD","2005-10-13","Materials",14491685
"CUL","CULLEN RESOURCES LIMITED","1988-11-23","Materials",6051491
"CUP","COUNTPLUS LIMITED","2010-12-22","Commercial & Professional Services",76529115
"CUS","COPPER SEARCH LIMITED","2021-09-15","Materials",14421390
"CUV","CLINUVEL PHARMACEUTICALS LIMITED","2001-02-13","Pharmaceuticals, Biotechnology & Life Sciences",1062322267
"CVC","CVC LIMITED","1985-06-27","Diversified Financials",230143465
"CVL","CIVMEC LIMITED","2018-06-22","Capital Goods",295502220
"CVN","CARNARVON ENERGY LIMITED","1984-08-16","Energy",270028036
"CVR","CAVALIER RESOURCES LIMITED","2022-06-17","Materials",5594134
"CVV","CARAVEL MINERALS LIMITED","2006-11-03","Materials",93343453
"CVW","CLEARVIEW WEALTH LIMITED","2003-12-11","Diversified Financials",310688165
"CWL","CONSOLIDATED FINANCIAL HOLDINGS LIMITED","2007-10-23","Software & Services","N/A"
"CWP","CEDAR WOODS PROPERTIES LIMITED","1994-08-31","Real Estate",359257425
"CWX","CARAWINE RESOURCES LIMITED","2017-12-14","Materials",18500842
"CWY","CLEANAWAY WASTE MANAGEMENT LIMITED","2005-05-03","Commercial & Professional Services",5965680322
"CXL","CALIX LIMITED","2018-07-20","Materials",862554303
"CXM","CENTREX LIMITED","2006-07-19","Materials",82568705
"CXO","CORE LITHIUM LTD","2011-02-11","Materials",1838319419
"CXU","CAULDRON ENERGY LIMITED","2005-01-28","Energy",5240070
"CXUN","CAULDRON ENERGY LIMITED","2005-01-28","Energy",5240070
"CXX","CRADLE RESOURCES LIMITED","2011-09-16","Materials","N/A"
"CXZ","CONNEXION TELEMATICS LTD","1974-01-01","Software & Services",10502665
"CY5","CYGNUS GOLD LIMITED","2018-01-15","Materials",69872201
"CYC","CYCLOPHARM LIMITED","2007-01-18","Health Care Equipment & Services",111431957
"CYG","COVENTRY GROUP LIMITED","1966-01-27","Capital Goods",103438582
"CYL","CATALYST METALS LIMITED","2006-07-26","Materials",115685974
"CYM","CYPRIUM METALS LIMITED","1985-04-26","Materials",67178244
"CYP","CYNATA THERAPEUTICS LIMITED","2007-12-20","Pharmaceuticals, Biotechnology & Life Sciences",45132127
"CYQ","CYCLIQ GROUP LTD","2007-11-21","Consumer Durables & Apparel",2780133
"CZL","CONSOLIDATED ZINC LIMITED","2006-06-19","Materials",8795508
"CZN","CORAZON MINING LIMITED","2005-06-30","Materials",12206611
"CZR","CZR RESOURCES LTD","2006-08-29","Materials",47105211
"D2O","DUXTON WATER LIMITED","2016-09-16","Utilities",196924495
"DAF","DISCOVERY ALASKA LIMITED","2011-09-22","Materials",7175510
"DAL","DALAROO METALS LTD","2021-09-28","Materials",5400000
"DBF","DUXTON FARMS LTD","2018-02-08","Food, Beverage & Tobacco",67114948
"DBI","DALRYMPLE BAY INFRASTRUCTURE LIMITED","2020-12-08","Transportation",1199743234
"DBO","DIABLO RESOURCES LIMITED","2021-10-12","Materials",4321000
"DC2","DC TWO LIMITED","2020-11-10","Software & Services",3610155
"DCC","DIGITALX LIMITED","1989-02-06","Software & Services",19383495
"DCG","DECMIL GROUP LIMITED","2005-04-22","Capital Goods",24089168
"DCL","DOMACOM LIMITED","2016-11-07","Diversified Financials","N/A"
"DCN","DACIAN GOLD LIMITED","2012-11-14","Materials",127764098
"DCX","DISCOVEX RESOURCES LIMITED","2007-12-13","Materials",11558988
"DDB","DYNAMIC GROUP HOLDINGS LIMITED","2020-08-06","Capital Goods",37674827
"DDH","DDH1 LIMITED","2021-03-09","Materials",356981428
"DDR","DICKER DATA LIMITED","2011-01-24","Technology Hardware & Equipment",1876553711
"DDT","DATADOT TECHNOLOGY LIMITED","2005-01-12","Automobiles & Components",8707086
"DEG","DE GREY MINING LIMITED","2002-07-03","Materials",2037322824
"DEL","DELOREAN CORPORATION LIMITED","2021-04-12","Utilities",14884743
"DEM","DE.MEM LIMITED","2017-04-07","Utilities",30550792
"DES","DESOTO RESOURCES LIMITED","2022-12-16","Materials",16900500
"DEV","DEVEX RESOURCES LIMITED","2000-10-03","Energy",103818001
"DEX","DUKE EXPLORATION LIMITED","2020-11-10","Materials","N/A"
"DGH","DESANE GROUP HOLDINGS LIMITED","1987-09-04","Real Estate",38864491
"DGL","DGL GROUP LIMITED","2021-05-24","Materials",448672148
"DGR","DGR GLOBAL LIMITED","2003-08-21","Materials",57403141
"DHG","DOMAIN HOLDINGS AUSTRALIA LIMITED.","2017-11-16","Media & Entertainment",1705474313
"DJW","DJERRIWARRH INVESTMENTS LIMITED","1995-06-28","Not Applic",729956444
"DKM","DUKETON MINING LIMITED","2014-08-04","Materials",48836092
"DLM","DOMINION MINERALS LIMITED","2004-03-19","Pharmaceuticals, Biotechnology & Life Sciences",10163273
"DLT","DELTA DRONE INTERNATIONAL LIMITED","2018-06-18","Technology Hardware & Equipment",5627654
"DM1","DESERT METALS LIMITED","2020-12-18","Materials",14488216
"DMC","DESIGN MILK CO LIMITED","1997-03-24","Retailing","N/A"
"DME","DOME GOLD MINES LIMITED","2013-10-22","Materials",77564110
"DMG","DRAGON MOUNTAIN GOLD LIMITED","2007-07-31","Materials",4736060
"DMM","DMC MINING LIMITED.","2021-12-22","Materials",4495950
"DMP","DOMINO'S PIZZA ENTERPRISES LIMITED","2005-05-16","Consumer Services",5852172666
"DNA","DONACO INTERNATIONAL LIMITED","2004-12-23","Consumer Services",59298690
"DNK","DANAKALI LIMITED","2003-10-17","Materials",136283708
"DOC","DOCTOR CARE ANYWHERE GROUP PLC","2020-12-04","Health Care Equipment & Services",21271027
"DOR","DORIEMUS PLC","2017-09-29","Energy","N/A"
"DOU","DOUUGH LIMITED","2004-06-15","Telecommunication Services",13527702
"DOW","DOWNER EDI LIMITED","1990-12-20","Commercial & Professional Services",2484822612
"DRA","DRA GLOBAL LIMITED","2021-07-09","Capital Goods",108820996
"DRE","DREADNOUGHT RESOURCES LTD","2006-10-31","Materials",295636309
"DRM","DEMETALLICA LIMITED","2022-05-26","Materials","N/A"
"DRO","DRONESHIELD LIMITED","2016-06-22","Capital Goods",96974027
"DRR","DETERRA ROYALTIES LIMITED","2020-10-23","Materials",2473500295
"DRX","DIATREME RESOURCES LIMITED","2005-06-22","Materials",93243978
"DSE","DROPSUITE LIMITED","1985-12-12","Software & Services",117281656
"DSK","DUSK GROUP LIMITED","2020-11-02","Retailing",107100728
"DTC","DAMSTRA HOLDINGS LIMITED","2019-10-16","Software & Services",34789012
"DTI","DTI GROUP LTD","2014-12-09","Technology Hardware & Equipment",7176823
"DTL","DATA#3 LIMITED","1997-12-23","Software & Services",1065188378
"DTM","DART MINING NL","2007-05-10","Materials",8694569
"DTR","DATELINE RESOURCES LIMITED","2011-06-23","Materials",21477012
"DTZ","DOTZ NANO LIMITED","2007-12-13","Semiconductors & Semiconductor Equipment",117172727
"DUB","DUBBER CORPORATION LIMITED","2000-06-30","Software & Services",162693699
"DUG","DUG TECHNOLOGY LTD","2020-08-12","Software & Services",67330330
"DUI","DIVERSIFIED UNITED INVESTMENT LIMITED","1991-12-19","Not Applic",1053508149
"DUN","DUNDAS MINERALS LIMITED","2021-11-10","Materials",10212781
"DUR","DURATEC LIMITED","2020-11-04","Capital Goods",134036123
"DVL","DORSAVI LTD","2013-12-11","Pharmaceuticals, Biotechnology & Life Sciences",5682075
"DVP","DEVELOP GLOBAL LIMITED","2007-04-27","Materials",494791260
"DVR","DIVERGER LIMITED","2005-08-02","Diversified Financials",36920621
"DXB","DIMERIX LIMITED","1993-02-04","Pharmaceuticals, Biotechnology & Life Sciences",49735418
"DXC","DEXUS CONVENIENCE RETAIL REIT","2017-07-27","Real Estate",410514558
"DXI","DEXUS INDUSTRIA REIT.","2013-12-03","Real Estate",945464636
"DXN","DXN LIMITED","2018-04-11","Software & Services",8606574
"DXS","DEXUS","2004-10-06","Real Estate",8701322840
"DYL","DEEP YELLOW LIMITED","1985-12-19","Energy",528374848
"DYM","DYNAMIC METALS LIMITED",,"Class Pend",0
"E25","ELEMENT 25 LIMITED","2006-11-09","Materials",194733386
"E2M","E2 METALS LIMITED","2017-04-19","Materials",37835141
"E33","EAST 33 LIMITED..","2021-07-29","Food, Beverage & Tobacco",18687193
"E79","E79 GOLD MINES LIMITED","2021-10-07","Materials",7590086
"EAI","ELLERSTON ASIAN INVESTMENTS LIMITED","2015-09-15","Not Applic",101817810
"EAX","ENERGY ACTION LIMITED","2011-10-13","Commercial & Professional Services",1889202
"EBG","EUMUNDI GROUP LIMITED","1989-12-07","Consumer Services",47107786
"EBO","EBOS GROUP LIMITED","2013-12-06","Health Care Equipment & Services",7684609516
"EBR","EBR SYSTEMS INC.","2021-11-24","Health Care Equipment & Services",124467453
"ECF","ELANOR COMMERCIAL PROPERTY FUND","2019-12-06","Real Estate",307059662
"ECG","ECARGO HOLDINGS LIMITED","2014-11-28","Commercial & Professional Services",9228750
"ECL","EXCELSIOR CAPITAL LTD","1993-04-22","Capital Goods",59438661
"ECP","ECP EMERGING GROWTH LIMITED","2014-08-14","Not Applic",19072652
"ECS","ECS BOTANICS HOLDINGS LTD","1986-03-13","Pharmaceuticals, Biotechnology & Life Sciences",22134613
"ECT","ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.","1986-02-05","Commercial & Professional Services",22311272
"ECX","ECLIPX GROUP LIMITED","2015-04-22","Diversified Financials",577422896
"EDC","EILDON CAPITAL GROUP","2017-02-28","Diversified Financials",39682118
"EDE","EDEN INNOVATIONS LTD","2006-06-06","Energy",13556151
"EDU","EDU HOLDINGS LIMITED","2004-06-25","Consumer Services",28912528
"EDV","ENDEAVOUR GROUP LIMITED","2021-06-24","Food & Staples Retailing",11766738712
"EEG","EMPIRE ENERGY GROUP LIMITED","1984-08-30","Energy",146893018
"EEL","ENRG ELEMENTS LTD","2011-07-01","Materials",26912054
"EFE","EASTERN RESOURCES LIMITED","2008-05-16","Materials",32299444
"EGG","ENERO GROUP LIMITED","2004-04-30","Media & Entertainment",267034677
"EGH","EUREKA GROUP HOLDINGS LIMITED","2004-07-01","Real Estate",141176936
"EGL","ENVIRONMENTAL GROUP LIMITED (THE)","1981-02-12","Capital Goods",61307101
"EGN","ENGENCO LIMITED","2006-12-14","Capital Goods",132573108
"EGR","ECOGRAF LIMITED","2010-10-29","Materials",110331697
"EGY","ENERGY TECHNOLOGIES LIMITED","1992-10-22","Capital Goods",14975137
"EHE","ESTIA HEALTH LIMITED","2014-12-05","Health Care Equipment & Services",508971237
"EHL","EMECO HOLDINGS LIMITED","2006-07-28","Capital Goods",407417053
"EIQ","ECHOIQ LIMITED","2010-12-17","Software & Services",84136497
"EL8","ELEVATE URANIUM LTD","1985-10-23","Energy",103310894
"ELD","ELDERS LIMITED","1981-06-30","Food, Beverage & Tobacco",1608579181
"ELE","ELMORE LTD","1998-02-25","Materials",18849388
"ELO","ELMO SOFTWARE LIMITED","2017-06-29","Software & Services",476154910
"ELS","ELSIGHT LIMITED","2017-06-08","Technology Hardware & Equipment",49229663
"ELT","ELEMENTOS LIMITED","2009-12-23","Materials",44532244
"EM2","EAGLE MOUNTAIN MINING LIMITED","2018-03-16","Materials",50128204
"EMB","EMBELTON LIMITED","1974-01-01","Capital Goods",21578570
"EMC","EVEREST METALS CORPORATION LTD","2006-10-18","Energy",8514649
"EMD","EMYRIA LIMITED","2020-02-12","Health Care Equipment & Services",49444383
"EME","ENERGY METALS LTD","2005-09-09","Energy",29355664
"EMH","EUROPEAN METALS HOLDINGS LIMITED","2012-07-19","Materials",127439102
"EML","EML PAYMENTS LIMITED","2006-01-18","Software & Services",224390477
"EMN","EURO MANGANESE INC","2018-10-02","Materials",142863413
"EMP","EMPEROR ENERGY LIMITED","1987-06-05","Energy",5377250
"EMR","EMERALD RESOURCES NL","1994-07-22","Materials",712411180
"EMS","EASTERN METALS LIMITED","2021-10-25","Materials",4176263
"EMT","EMETALS LIMITED","2010-10-26","Not Applic",9350000
"EMU","EMU NL","2008-02-27","Materials",4810877
"EMUCA","EMU NL","2008-02-27","Materials",4810877
"EMV","EMVISION MEDICAL DEVICES LTD","2018-12-13","Health Care Equipment & Services",137896117
"ENA","ENSURANCE LTD","2011-09-23","Insurance",21175835
"ENN","ELANOR INVESTORS GROUP","2014-07-11","Consumer Services",209529699
